"","CASE_ID","GPS_NAC_ADOPTER","SURVEY_SOURCE","STATE","HOME","HAVESOLAR","PROMPT1","PROMPT2","PROMPT3","PROMPT4","PROMPT5","PROMPT6","PROMPT7","PROMPT8","PROMPT9","PROMPT10","PROMPT11","PROMPT12","PROMPT13","PROMPT14","PROMPT15","PROMPT_HOME1","PROMPT_HOME2","PROMPT_HOME3","PROMPT_HOME4","PROMPT_HOME5","TIME_CONSIDERED","INST_TALKEDTO","INST_QOTE_BUY_TEXT_CLND","INST_QOTE_LSE_TEXT_CLND","MOTIVE1","MOTIVE2","MOTIVE3","MOTIVE4","MOTIVE5","MOTIVE6","MOTIVE7","MOTIVE8","MOTIVE9","INFLNC_SAW","INFLNC_PPLTALK","INFLNC_ADS","INFLNC_OTHKNEW","INFLNC_OTHKNEW_NUM","INFLNC_OTH_MULT1","INFLNC_OTH_MULT2","INFLNC_OTH_MULT3","INFLNC_OTH_MULT4","INFLNC_OTH_MULT5","INFLNC_OTH_MULT6","INFLNC_OTH_MULT7","INFLNC_OTH_ONE1","INFLNC_OTH_ONE2","INFLNC_OTH_ONE3","INFLNC_OTH_ONE4","INFLNC_OTH_ONE5","INFLNC_OTH_ONE6","DIFFICULTY1","DIFFICULTY2","DIFFICULTY3","DIFFICULTY4","DIFFICULTY5","DIFFICULTY6","CONCERN1","CONCERN2","CONCERN3","CONCERN4","CONCERN5","CONCERN6","CONCERN7","CONCERN8","CONCERN9","NPS_PANELS","ECONEVAL","ECONEVAL_SVG_PERIOD","ECONEVAL_SVGS_CLND","ECONEVAL_PYBK","ECONEVAL_PYBK_YRS_CLND","ECONEVAL_ROR","ECONEVAL_ROR_PCT_CLND","WINTER_NOPV_BINNED","SUMMER_NOPV_BINNED","PN1","PN2","PN3","E2","BB1","BB2","BB3","BTE8","BE13","BE10","Co3","VB1","VB2","VB3","VA1","VA2","VA3","VT1","VT2","VT3","VE1","VE2","VE4","VO1","VO2","VO3","RISK_AVERSION_CLND","DISCOUNTING_CLND","CIJM1","CIJM2","CIJM3","CNS1","CNS2","CNS4","HOME_MOVED_SINCE2009","SQFT_BINNED","EE1","EE2","EE3","EE4","EE5","EE6","EE7","EE8","HMYRS_1","HMYRS_1_CLEANED","HAS_POOL","HAS_AC","STANCE","PEOPLE_TOT_3PLUS","HAVE_KIDS","GENDER","AGE_BINNED","EDUC_BINNED","FINANCIAL","INCOME_BINNED","RETIRED","RETIRED_LAST5YRS","RETIRE_WHEN","RETIRE_WHEN_BINNED","type"
"975",2317,3,2,4,NA,"1",0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,6,5,2,2,5,4,3,2,3,1,3,1,1,4,3,4,1,3,3,1,2,1,2,2,1,NA,NA,NA,NA,NA,NA,1,1,4,1,1,2,5,5,5,5,3,2,4,2,1,11,1,1,10,NA,NA,NA,NA,3,5,4,3,3,5,4,4,3,3,3,5,4,4,2,2,3,5,4,4,5,3,3,4,3,3,4,5,20,6500,3,4,3,4,4,2,1,1,1,0,1,1,1,0,0,0,2,5,0,1,3,0,0,0,1,3,2,NA,0,NA,1,6,1
"976",2318,3,2,4,NA,"1",0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,6,2,2,2,5,3,5,5,5,3,5,5,1,3,2,3,1,3,3,1,2,2,2,2,3,NA,NA,NA,NA,NA,NA,1,1,2,2,1,2,4,4,4,4,4,4,4,2,2,9,1,1,200,NA,NA,NA,NA,10,6,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,3,5,3,4,4,4,10,20000,4,3,3,3,3,3,1,1,0,1,0,0,1,0,0,0,2,20,99,99,3,1,1,1,2,2,2,4,0,NA,2,NA,1
"977",2319,3,2,4,NA,"1",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,3,3,3,0,5,5,3,5,5,2,5,1,2,3,2,3,1,2,2,1,1,3,2,1,1,NA,NA,NA,NA,NA,NA,1,1,4,1,1,2,2,3,99,1,3,2,2,2,1,11,2,NA,NA,1,9,NA,NA,11,3,4,4,4,5,5,4,5,4,5,5,4,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,NA,NA,99,99,99,99,99,99,0,3,0,0,0,0,1,1,0,0,3,NA,0,NA,99,NA,0,0,NA,4,1,95,1,0,NA,NA,1
"978",2320,3,2,1,NA,"1",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,1,1,0,1,4,1,4,4,5,5,5,5,3,3,2,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,4,1,1,1,1,1,1,2,1,2,11,1,1,50,NA,NA,NA,NA,3,6,4,4,4,4,5,4,5,4,98,5,4,4,4,4,5,4,99,3,4,3,3,99,99,4,99,99,5,5000,2,2,3,3,3,5,0,NA,1,1,1,1,0,0,0,0,98,NA,0,1,2,0,0,1,3,4,2,NA,1,1,NA,NA,1
"979",2321,3,2,4,NA,"1",0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,NA,NA,NA,NA,NA,6,2,1,1,4,3,3,3,4,3,3,2,2,4,4,4,1,3,2,1,2,2,3,3,2,NA,NA,NA,NA,NA,NA,1,1,1,1,2,3,2,1,2,1,1,1,2,1,1,9,1,1,75,NA,NA,NA,NA,NA,NA,4,3,4,3,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,3,3,4,4,4,2,10000,4,4,3,3,3,2,0,4,1,1,1,1,1,0,1,0,3,NA,0,0,4,0,0,0,4,4,1,95,0,NA,1,1,1
"980",2322,3,2,4,NA,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,6,5,2,1,2,4,3,4,3,3,2,1,1,3,2,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,3,2,1,2,4,3,1,5,3,2,1,1,8,91,NA,NA,NA,NA,NA,NA,5,5,4,2,1,1,2,1,2,4,3,4,1,2,99,2,99,99,99,4,4,4,1,99,99,4,99,4,0,NA,4,4,3,2,2,3,0,4,1,0,1,0,0,0,0,0,2,17.5,0,1,99,0,0,0,3,4,1,99,0,NA,98,NA,1
"981",2323,3,2,4,NA,"1",0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,6,2,1,1,5,4,3,5,1,1,1,1,1,4,4,4,1,4,2,1,1,2,3,3,2,NA,NA,NA,NA,NA,NA,1,1,3,1,1,3,1,2,2,2,2,2,2,1,1,11,1,1,50,NA,NA,NA,NA,5,6,1,1,1,1,1,1,1,3,4,5,3,2,1,2,1,1,1,4,3,3,5,2,3,2,1,2,0,NA,5,5,5,4,4,4,0,4,0,0,0,1,0,0,0,0,3,NA,0,1,4,0,0,0,4,4,1,5,1,0,NA,NA,1
"982",2324,3,2,4,NA,"1",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,2,3,3,3,5,5,5,5,5,5,5,5,1,1,1,4,1,3,1,1,2,3,2,1,2,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,1,1,2,3,1,1,1,1,11,1,1,380,NA,NA,NA,NA,10,10,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,3,1,3,3,4,2,5001,3,3,3,2,2,3,0,2,1,1,1,1,1,0,0,0,2,6,1,0,90,0,0,0,2,2,1,4,0,NA,1,5,1
"983",2325,3,2,4,NA,"1",0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,NA,NA,NA,NA,NA,1,2,0,0,5,1,5,5,5,5,5,5,1,4,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,5,1,1,5,1,4,1,1,10,1,1,150,NA,NA,NA,NA,9,8,5,5,5,5,5,5,5,5,5,5,5,4,3,4,3,3,3,3,5,3,2,2,4,2,3,4,1,10000,2,2,2,4,3,4,0,4,1,1,1,1,0,0,0,0,3,NA,1,1,4,1,0,0,4,3,1,3,1,1,NA,NA,1
"984",2326,3,2,4,NA,"1",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,1,0,4,4,2,4,4,4,4,2,2,3,3,4,1,1,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,0,3,2,2,2,1,1,3,4,4,4,4,3,3,1,1,6,2,NA,NA,1,15,NA,NA,5,6,3,3,3,4,98,3,4,4,98,4,3,4,5,4,5,5,5,5,5,5,3,4,3,2,4,5,10,25000,3,3,3,2,2,2,1,2,0,0,1,0,0,0,0,0,3,NA,1,1,3,1,1,0,1,2,1,2,0,NA,98,NA,1
"985",2327,3,2,4,NA,"1",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,1,1,0,1,5,4,3,5,2,2,2,1,1,1,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,1,1,1,1,1,1,5,4,5,2,3,1,5,1,1,11,1,98,NA,NA,NA,NA,NA,5,6,3,1,2,1,98,1,2,4,4,4,3,3,2,3,5,3,3,5,5,1,1,1,4,3,4,1,20,10000,1,1,3,1,1,1,0,2,0,1,0,0,0,1,0,0,98,NA,0,1,5,0,0,1,3,2,3,99,0,NA,98,NA,1
"986",2328,3,2,4,NA,"1",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,5,1,1,1,5,1,1,4,4,2,3,1,1,2,1,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,5,5,4,5,3,1,3,1,1,9,1,1,132.5,NA,NA,NA,NA,5,11,4,3,4,3,4,3,4,5,3,5,4,4,5,2,5,5,5,5,5,3,3,5,3,4,3,3,50,25000,3,4,4,3,2,2,0,2,0,1,0,1,0,0,0,0,3,NA,1,1,3,1,1,0,4,2,3,1,1,0,NA,NA,1
